PLZ;ORT;Bezirk;
3680;Persenbeug-Gottsdorf;Bezirk Melk;
3681;Hofamt Priel;Bezirk Melk;
3683;Yspertal;Bezirk Melk;
3684;St. Oswald;Bezirk Melk;
3691;Nöchling;Bezirk Melk;
3701;Großweikersdorf;Bezirk Tulln;
3701;Heldenberg;Bezirk Hollabrunn;
3701;Königsbrunn am Wagram;Bezirk Tulln;
3701;Stetteldorf am Wagram;Bezirk Korneuburg;
3702;Rußbach;Bezirk Korneuburg;
3704;Heldenberg;Bezirk Hollabrunn;
3710;Heldenberg;Bezirk Hollabrunn;
3710;Ziersdorf;Bezirk Hollabrunn;
3711;Hohenwarth-Mühlbach a.M.;Bezirk Hollabrunn;
3711;Ziersdorf;Bezirk Hollabrunn;
3712;Maissau;Bezirk Hollabrunn;
3713;Burgschleinitz-Kühnring;Bezirk Horn;
3713;Maissau;Bezirk Hollabrunn;
3714;Sitzendorf an der Schmida;Bezirk Hollabrunn;
3720;Ravelsbach;Bezirk Hollabrunn;
3721;Maissau;Bezirk Hollabrunn;
3722;Straning-Grafenberg;Bezirk Horn;
3730;Burgschleinitz-Kühnring;Bezirk Horn;
3730;Eggenburg;Bezirk Horn;
3730;Meiseldorf;Bezirk Horn;
3730;Röschitz;Bezirk Horn;
3730;Straning-Grafenberg;Bezirk Horn;
3741;Pulkau;Bezirk Hollabrunn;
3742;Pulkau;Bezirk Hollabrunn;
3742;Sigmundsherberg;Bezirk Horn;
3742;Weitersfeld;Bezirk Horn;
3743;Röschitz;Bezirk Horn;
3744;Meiseldorf;Bezirk Horn;
3744;Rosenburg-Mold;Bezirk Horn;
3751;Horn;Bezirk Horn;
3751;Meiseldorf;Bezirk Horn;
3751;Sigmundsherberg;Bezirk Horn;
3752;Geras;Bezirk Horn;
3752;Sigmundsherberg;Bezirk Horn;
3752;Weitersfeld;Bezirk Horn;
3753;Geras;Bezirk Horn;
3753;Pernegg;Bezirk Horn;
3754;Irnfritz-Messern;Bezirk Horn;
3761;Irnfritz-Messern;Bezirk Horn;
3762;Ludweis-Aigen;Bezirk Waidhofen an der Thaya;
3763;Japons;Bezirk Horn;
3800;Göpfritz an der Wild;Bezirk Zwettl;
3804;Allentsteig;Bezirk Zwettl;
3804;Echsenbach;Bezirk Zwettl;
3811;Göpfritz an der Wild;Bezirk Zwettl;
3812;Groß-Siegharts;Bezirk Waidhofen an der Thaya;
3813;Dietmanns;Bezirk Waidhofen an der Thaya;
3814;Ludweis-Aigen;Bezirk Waidhofen an der Thaya;
3820;Raabs an der Thaya;Bezirk Waidhofen an der Thaya;
3822;Karlstein an der Thaya;Bezirk Waidhofen an der Thaya;
3823;Raabs an der Thaya;Bezirk Waidhofen an der Thaya;
3824;Raabs an der Thaya;Bezirk Waidhofen an der Thaya;
3830;Thaya;Bezirk Waidhofen an der Thaya;
3830;Waidhofen an der Thaya;Bezirk Waidhofen an der Thaya;
3830;Waidhofen an der Thaya-Land;Bezirk Waidhofen an der Thaya;
3834;Heidenreichstein;Bezirk Gmünd;
3834;Pfaffenschlag bei Waidhofen a.d.Thaya;Bezirk Waidhofen an der Thaya;
3841;Windigsteig;Bezirk Waidhofen an der Thaya;
3842;Gastern;Bezirk Waidhofen an der Thaya;
3842;Thaya;Bezirk Waidhofen an der Thaya;
3843;Dobersberg;Bezirk Waidhofen an der Thaya;
3843;Thaya;Bezirk Waidhofen an der Thaya;
3844;Dobersberg;Bezirk Waidhofen an der Thaya;
3844;Waldkirchen an der Thaya;Bezirk Waidhofen an der Thaya;
3851;Dobersberg;Bezirk Waidhofen an der Thaya;
3851;Kautzen;Bezirk Waidhofen an der Thaya;
3852;Gastern;Bezirk Waidhofen an der Thaya;
3852;Kautzen;Bezirk Waidhofen an der Thaya;
3860;Amaliendorf-Aalfang;Bezirk Gmünd;
3860;Eggern;Bezirk Gmünd;
3860;Heidenreichstein;Bezirk Gmünd;
3861;Eggern;Bezirk Gmünd;
3862;Eisgarn;Bezirk Gmünd;
3863;Reingers;Bezirk Gmünd;
3871;Brand-Nagelberg;Bezirk Gmünd;
3871;Gmünd;Bezirk Gmünd;
3872;Amaliendorf-Aalfang;Bezirk Gmünd;
3872;Schrems;Bezirk Gmünd;
3873;Brand-Nagelberg;Bezirk Gmünd;
3873;Heidenreichstein;Bezirk Gmünd;
3873;Litschau;Bezirk Gmünd;
3874;Haugschlag;Bezirk Gmünd;
3874;Litschau;Bezirk Gmünd;
3900;Echsenbach;Bezirk Zwettl;
3900;Schwarzenau;Bezirk Zwettl;
3900;Windigsteig;Bezirk Waidhofen an der Thaya;
3902;Echsenbach;Bezirk Zwettl;
3902;Vitis;Bezirk Waidhofen an der Thaya;
3902;Waidhofen an der Thaya-Land;Bezirk Waidhofen an der Thaya;
